tensor(-78.1622, dtype=torch.float64)
tensor(-78.2582, dtype=torch.float64)
tensor(-78.3612, dtype=torch.float64)
tensor(-78.4253, dtype=torch.float64)
tensor(-78.5331, dtype=torch.float64)
tensor(-78.6781, dtype=torch.float64)
tensor(-78.7853, dtype=torch.float64)
tensor(-78.8920, dtype=torch.float64)
tensor(-78.9794, dtype=torch.float64)
tensor(-79.1190, dtype=torch.float64)
tensor(-79.2092, dtype=torch.float64)
tensor(-79.3200, dtype=torch.float64)
tensor(-79.4101, dtype=torch.float64)
tensor(-79.4600, dtype=torch.float64)
tensor(-79.7064, dtype=torch.float64)
tensor(-79.8084, dtype=torch.float64)
tensor(-79.9419, dtype=torch.float64)
tensor(-79.9770, dtype=torch.float64)
tensor(-80.1662, dtype=torch.float64)
tensor(-80.2232, dtype=torch.float64)
tensor(-80.3940, dtype=torch.float64)
tensor(-80.4071, dtype=torch.float64)
tensor(-80.6192, dtype=torch.float64)
tensor(-80.7221, dtype=torch.float64)
tensor(-80.8803, dtype=torch.float64)
tensor(-80.9992, dtype=torch.float64)
tensor(-81.0812, dtype=torch.float64)
tensor(-81.1616, dtype=torch.float64)
tensor(-81.3197, dtype=torch.float64)
tensor(-81.3875, dtype=torch.float64)
tensor(-81.5333, dtype=torch.float64)
tensor(-81.5998, dtype=torch.float64)
tensor(-81.7443, dtype=torch.float64)
tensor(-81.8181, dtype=torch.float64)
tensor(-81.9002, dtype=torch.float64)
tensor(-81.9310, dtype=torch.float64)
tensor(-82.0823, dtype=torch.float64)
tensor(-82.2071, dtype=torch.float64)
tensor(-82.2942, dtype=torch.float64)
tensor(-82.3194, dtype=torch.float64)
tensor(-82.4357, dtype=torch.float64)
tensor(-82.5277, dtype=torch.float64)
tensor(-82.6359, dtype=torch.float64)
tensor(-82.7130, dtype=torch.float64)
tensor(-82.8108, dtype=torch.float64)
tensor(-82.9166, dtype=torch.float64)
tensor(-83.0128, dtype=torch.float64)
tensor(-83.1059, dtype=torch.float64)
tensor(-83.1912, dtype=torch.float64)
tensor(-83.2925, dtype=torch.float64)
tensor(-83.3959, dtype=torch.float64)
tensor(-83.4928, dtype=torch.float64)
tensor(-83.5918, dtype=torch.float64)
tensor(-83.6758, dtype=torch.float64)
tensor(-83.8674, dtype=torch.float64)
tensor(-83.9429, dtype=torch.float64)
tensor(-84.0603, dtype=torch.float64)
tensor(-84.2274, dtype=torch.float64)
tensor(-84.2966, dtype=torch.float64)
tensor(-84.4234, dtype=torch.float64)
tensor(-84.5149, dtype=torch.float64)
